sample_id_1,sample_id_2,distance
10509598,10509598,0.0
10509598,123109559,inf
80209534,80209534,0.0
80209554,80209534,inf
80209554,80209554,0.0
80209554,80209555,0.0
80209554,80209557,inf
80209554,80209568,inf
80209555,80209534,inf
80209555,80209554,0.0
80209555,80209555,0.0
80209555,80209557,inf
80209555,80209568,inf
80209557,80209534,inf
80209557,80209554,inf
80209557,80209555,inf
80209557,80209557,0.0
80209557,80209568,inf
80209568,80209534,inf
80209568,80209554,inf
80209568,80209555,inf
80209568,80209557,inf
80209568,80209568,0.0
80509524,80209534,inf
80509524,80209554,inf
80509524,80209555,inf
80509524,80209557,inf
80509524,80209568,inf
80509524,80509524,0.0
80609753,80209534,inf
80609753,80209554,inf
80609753,80209555,inf
80609753,80209557,inf
80609753,80209568,inf
80609753,80509524,inf
80609753,80609753,0.0
80609753,80609808,inf
80609808,80209534,inf
80609808,80209554,inf
80609808,80209555,inf
80609808,80209557,inf
80609808,80209568,inf
80609808,80509524,inf
80609808,80609753,inf
80609808,80609808,0.0
80909553,80209534,inf
80909553,80209554,inf
80909553,80209555,inf
80909553,80209557,inf
80909553,80209568,inf
80909553,80509524,7.0
80909553,80609753,inf
80909553,80609808,inf
80909553,80909553,0.0
80909553,80909555,inf
80909553,80909562,inf
80909555,80209534,inf
80909555,80209554,inf
80909555,80209555,inf
80909555,80209557,inf
80909555,80209568,inf
80909555,80509524,inf
80909555,80609753,inf
80909555,80609808,inf
80909555,80909553,inf
80909555,80909555,0.0
80909555,80909562,inf
80909562,80209534,inf
80909562,80209554,inf
80909562,80209555,inf
80909562,80209557,inf
80909562,80209568,inf
80909562,80509524,inf
80909562,80609753,inf
80909562,80609808,inf
80909562,80909553,inf
80909562,80909555,inf
80909562,80909562,0.0
81109535,80209534,inf
81109535,80209554,inf
81109535,80209555,inf
81109535,80209557,inf
81109535,80209568,inf
81109535,80509524,inf
81109535,80609753,inf
81109535,80609808,inf
81109535,80909553,inf
81109535,80909555,inf
81109535,80909562,inf
81109535,81109535,0.0
81109535,81209614,inf
